"g7-193","怒","ド","いか"
"g7-194","到","トウ",
"g7-195","逃","トウ","に"
"g7-196","倒","トウ","たお"
"g7-197","唐","トウ","から"
"g7-198","桃","トウ","もも"
"g7-199","透","トウ","す"
"g7-200","盗","トウ","ぬす"
"g7-201","塔","トウ",
"g7-202","稲","トウ","いね"
"g7-203","踏","トウ","ふ"
"g7-204","闘","トウ","たたか"
"g7-205","胴","ドウ",
"g7-206","峠",,"とうげ"
"g7-207","突","トツ","つ"
"g7-208","鈍","ドン","にぶ"
"g7-209","弐","ニ",
"g7-210","悩","ノウ","なや"
"g7-211","濃","ノウ","こ"
"g7-212","杯","ハイ","さかずき"
"g7-213","輩","ハイ",
"g7-214","拍","ハク",
"g7-215","泊","ハク","と"
"g7-216","追","ハク","せま"
"g7-217","薄","ハク","うす"
"g7-218","爆","バク",
"g7-219","髪","ハツ","かみ"
"g7-220","抜","バツ","ぬ"
"g7-221","罰","バツ",
"g7-222","般","ハン",
"g7-223","販","ハン",
"g7-224","搬","ハン",
"g7-225","範","ハン",
"g7-226","繁","ハン",
"g7-227","盤","バン",
"g7-228","彼","ヒ","かれ"
"g7-229","疲","ヒ","つか"
"g7-230","被","ヒ","こうむ"
"g7-231","避","ヒ","さ"
"g7-232","尾","ビ","お"
"g7-233","微","ビ",
"g7-234","匹","ヒツ","ひき"
"g7-235","描","ビョウ","えが"
"g7-236","浜","ヒン","はま"
"g7-237","敏","ビン",
"g7-238","怖","フ","こわ"
"g7-239","浮","フ","う"
"g7-240","普","フ",
"g7-241","腐","フ","くさ"
"g7-242","敷","フ","し"
"g7-243","膚","フ",
"g7-244","賦賦","フ",
"g7-245","舞","ブ","まい"
"g7-246","幅","フク","はば"
"g7-247","払","フツ","はら"
"g7-248","噴","フン","ふ"
"g7-249","柄","ヘイ","がら"
"g7-250","壁","ヘキ","かべ"
"g7-251","捕","ホ","と"
"g7-252","舗","ホ",
"g7-253","抱","ホウ","だ"
"g7-254","峰","ホウ","みね"
"g7-255","砲","ホウ",
"g7-256","忙","ボウ","いそが"
"g7-257","坊","ボウ",
"g7-234","肪","ボウ",
"g7-235","冒","ボウ","おか"
"g7-236","傍","ボウ","かたわ"
"g7-237","帽","ボウ",
"g7-238","凡","ボン",
"g7-239","盆","ボン",
"g7-240","慢","マン",
"g7-241","漫","マン",
"g7-242","妙","ミョウ",
"g7-243","眠","ミン","ねむ"
"g7-244","矛","ム","ほこ"
"g7-245","霧","ム","きり"
"g7-246","娘",,"むすめ"
"g7-247","茂","モ","しげ"
"g7-248","猛","モウ",
"g7-249","網","モウ","あみ"
"g7-250","黙","モク","だま"
"g7-251","紋","モン",
"g7-252","躍","ヤク","おど"
"g7-253","雄","ユウ","お"
"g7-254","与","ヨ","あた"
"g7-255","誉","ヨ","ほま"
"g7-256","溶","ヨウ","と"
"g7-257","腰","ヨウ","こし"
"g7-258","踊","ヨウ","おど"
"g7-259","謡","ヨウ","うたい"
"g7-260","翼","ヨク","つばさ"
"g7-261","雷","ライ","かみなり"
"g7-262","頼","ライ","たよ"
"g7-263","絡","ラク","から"
"g7-264","欄","ラン",
"g7-265","離","リ","はな"
"g7-266","粒","リュウ","つぶ"
"g7-267","慮","リョ",
"g7-268","療療","リョウ",
"g7-269","隣","リン","とな"
"g7-270","涙","ルイ","なみだ"
"g7-271","隷","レイ",
"g7-272","齢","レイ",
"g7-273","麗","レイ","うるわ"
"g7-274","暦","レキ","こよみ"
"g7-275","劣","レツ","おと"
"g7-276","烈","レツ",
"g7-277","恋","レン","こい"
"g7-278","露","ロ","つゆ"
"g7-279","郎","ロウ",
"g7-280","惑","ワク","まど"
"g7-281","腕","ワン","うで"
