"g9-210","眺","チョウ","なが"
"g9-211","釣","チョウ","つ"
"g9-212","懲","チョウ","こ"
"g9-213","勅","チョク",
"g9-214","朕","チン",
"g9-215","塚",,"つか"
"g9-216","漬",,"つ"
"g9-217","坪",,"つぼ"
"g9-218","呈","テイ",
"g9-219","廷","テイ",
"g9-220","邸","テイ",
"g9-221","亭","テイ",
"g9-222","貞","テイ",
"g9-223","逓","テイ",
"g9-224","偵","テイ",
"g9-225","艇","テイ",
"g9-226","泥","デイ","どろ"
"g9-227","迭","テツ",
"g9-228","徹","テツ",
"g9-229","撤","テツ",
"g9-230","悼","トウ","いた"
"g9-231","塔","トウ",
"g9-232","棟","トウ","むね"
"g9-233","筒","トウ","つつ"
"g9-234","謄","トウ",
"g9-235","騰","トウ",
"g9-236","洞","ドウ","ほら"
"g9-237","督","トク",
"g9-238","凸","トツ",
"g9-239","屯","トン",
"g9-240","軟","ナン","やわ"
"g9-241","尼","ニ","あま"
"g9-242","妊","ニン",
"g9-243","忍","ニン","しの"
"g9-244","寧","ネイ",
"g9-245","把","ハ",
"g9-246","覇","ハ",
"g9-247","廃","ハイ","すた"
"g9-248","培","バイ","つちか"
"g9-249","媒","バイ",
"g9-250","賠","バイ",
"g9-251","伯","ハク",
"g9-252","舶","ハク",
"g9-253","漠","バク",
"g9-254","肌",,"はだ"
"g9-255","鉢","ハチ",
"g9-256","閥","バツ",
"g9-257","煩","ハン","わずら"
"g9-258","頒","ハン",
"g9-259","妃","ヒ",
"g9-260","披","ヒ",
"g9-261","扉","ヒ","とびら"
"g9-262","罷","ヒ",
"g9-263","猫","ビョウ","ねこ"
"g9-264","賓","ヒン",
"g9-265","頻","ヒン",
"g9-266","瓶","ビン",
"g9-267","扶","フ",
"g9-268","附","フ",
"g9-269","譜","フ",
"g9-270","侮","ブ","あなど"
"g9-271","沸","フツ","わ"
"g9-272","雰","フン",
"g9-273","憤","フン","いきどお"
"g9-274","丙","ヘイ",
"g9-275","併","ヘイ","あわ"
"g9-276","塀","ヘイ",
"g9-277","幣","ヘイ",
"g9-278","弊","ヘイ",
"g9-279","偏","ヘン","かたよ"
"g9-280","偏","ヘン",
"g9-281","泡","ホウ","あわ"
"g9-282","俸","ホウ",
"g9-283","褒","ホウ","ほ"
"g9-284","剖","ボウ",
"g9-285","紡","ボウ","つむ"
"g9-286","朴","ボク",
"g9-287","僕","ボク",
"g9-288","撲","ボク",
"g9-289","堀",,"ほり"
"g9-290","奔","ホン",
"g9-291","麻","マ","あさ"
"g9-292","摩","マ",
"g9-293","磨","マ","みが"
"g9-294","抹","マツ",
"g9-295","岬",,"みさき"
"g9-296","銘","メイ",
"g9-297","妄","モウ",
"g9-298","盲","モウ",
"g9-299","耗","モウ",
"g9-300","厄","ヤク",
"g9-301","愉","ユ",
"g9-302","諭","ユ","さと"
