"g1-001","一","イチ","ひと"
"g1-002","右","ウ","みぎ"
"g1-003","雨","ウ","あめ"
"g1-004","円","エン","まる"
"g1-005","王","オウ",
"g1-006","音","オン","おと"
"g1-007","下","カ","した"
"g1-008","火","カ","ひ"
"g1-009","花","カ","はな"
"g1-010","貝","バイ","かい"
"g1-011","学","ガク","まな"
"g1-012","気","キ",
"g1-013","九","キュウ","ここの"
"g1-014","休","キュウ","やす"
"g1-015","玉","ギョク","たま"
"g1-016","金","キン","かね"
"g1-017","空","クウ","そら"
"g1-018","月","ゲツ","つき"
"g1-019","犬","ケン","いぬ"
"g1-020","見","ケン","み"
"g1-021","五","ゴ","いつ"
"g1-022","口","コウ","くち"
"g1-023","校","コウ",
"g1-024","左","サ","ひだり"
"g1-025","三","サン","み"
"g1-026","山","サン","やま"
"g1-027","子","シ","こ"
"g1-028","四","シ","よん"
"g1-029","糸","シ","いと"
"g1-030","字","ジ","あざ"
"g1-031","耳","ジ","みみ"
"g1-032","七","シチ","なな"
"g1-033","車","シャ","くるま"
"g1-034","手","シュ","て"
"g1-035","十","ジュウ","とお"
"g1-036","出","シュツ","で"
"g1-037","女","ジョ","おんな"
"g1-038","小","ショウ","ちい"
"g1-039","上","ジョウ","うえ"
"g1-040","森","シン","もり"
"g1-041","人","ジン","ひと"
"g1-042","水","スイ","みず"
"g1-043","正","セイ","ただ"
"g1-044","生","セイ","い"
"g1-045","青","セイ","あお"
"g1-046","夕","セキ","ゆう"
"g1-047","石","セキ","いし"
"g1-048","赤","セキ","あか"
"g1-049","千","セン","ち"
"g1-050","川","セン","かわ"
"g1-051","先","セン","さき"
"g1-052","早","ソウ","はや"
"g1-053","草","ソウ","くさ"
"g1-054","足","ソク","あし"
"g1-055","村","ソン","むら"
"g1-056","大","ダイ","おお"
"g1-057","男","ダン","おとこ"
"g1-058","竹","チク","たけ"
"g1-059","中","チュウ","なか"
"g1-060","虫","チュウ","むし"
"g1-061","町","チョウ","まち"
"g1-062","天","テン","あめ"
"g1-063","田","デン","た"
"g1-064","土","ド","つち"
"g1-065","二","ニ","ふた"
"g1-066","日","ニチ","ひ"
"g1-067","入","ニュウ","はい"
"g1-068","年","ネン","とし"
"g1-069","白","ハク","しろ"
"g1-070","八","ハチ","やっ"
"g1-071","百","ヒャク","もも"
"g1-072","文","ブン","ふみ"
"g1-073","木","ボク","き"
"g1-074","本","ホン","もと"
"g1-075","名","メイ","な"
"g1-076","目","モク","め"
"g1-077","立","リツ","た"
"g1-078","力","リキ","ちから"
"g1-079","林","リン","はやし"
"g1-080","六","ロク","む"
