"g6-058","策","サク","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-059","冊","サツ;サク","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-060","蚕","サン","かいこ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-061","至","シ","いた","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-062","私","シ","わたくし;わたし","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-063","姿","シ","すがた","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-064","視","シ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-065","詞","シ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-066","誌","シ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-067","磁","ジ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-068","射","シャ","い","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-069","捨","シャ","す","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-070","尺","シャク","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-071","若","ジャク;ニャク","わか;も","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-072","樹","ジュ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-073","収","シュウ","おさ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-074","宗","シュウ;ソウ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-075","就","シュウ;ジュ","つ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-076","衆","シュウ;シュ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-077","従","ジュウ;ジュ;ショウ","したが","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-078","縦","ジュウ","たて","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-079","縮","シュク","ちぢ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-080","熟","ジュク","う","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-081","純","ジュン","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-082","処","ショ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-083","署","ショ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-084","諸","ショ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-085","除","ジョ;ジ","のぞ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-086","将","ショウ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-087","傷","ショウ","きず;いた","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-088","障","ショウ","さわ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-090","蒸","ジョウ","む","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-091","針","シン","はり","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-092","仁","ジン;ニ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-093","垂","スイ","た","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-094","推","スイ","お","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-095","寸","スン","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-096","盛","セイ;ジョウ","も;さか","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-097","聖","セイ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-098","誠","セイ","まこと","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-099","宣","セン","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-100","専","セン","もっぱ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-101","泉","セン","いずみ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-102","洗","セン","あら","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-103","染","セン","そ;し","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-104","善","ゼン","よ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-105","奏","ソウ","かな","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-106","窓","ソウ","まど","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-107","創","ソウ","つく","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-108","装","ソウ;ショウ","よそお","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-109","層","ソウ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-110","操","ソウ","あやつ;みさお","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-111","蔵","ゾウ","くら","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-112","臓","ゾウ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-113","存","ゾン;ソン","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-114","尊","ソン","とうと;たっと","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-115","宅","タク","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-116","担","タン","かつ;にな","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-117","探","タン","さが;さぐ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-118","誕","タン","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-119","段","ダン","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-120","暖","ダン","あたた","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-121","値","チ","ね;あたい","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-122","宙","チュウ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-123","忠","チュウ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-124","著","チョ","あらわ;いちじる","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-125","庁","チョウ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-126","頂","チョウ","いただ;いただき","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-127","潮","チョウ","しお","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-128","賃","チン","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-129","痛","ツウ","いた","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-130","展","テン","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-131","討","トウ","う","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-132","党","トウ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-133","糖","トウ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-134","届","","とど","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-135","難","ナン","むずか;かた","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-136","乳","ニュウ","ちち;ち","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-137","認","ニン","みと","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-138","納","ノウ;ナッ;ナ;ナン;トウ","おさ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-139","脳","ノウ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-140","派","ハ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-141","拝","ハイ","おが","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-142","背","ハイ","せ;せい;そむ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-143","肺","ハイ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-144","俳","ハイ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-145","班","ハン","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-146","晩","バン","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-147","否","ヒ","いな","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-148","批","ヒ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-149","秘","ヒ","ひ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-150","腹","フク","はら","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-151","奮","フン","ふる","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-152","並","ヘイ","なら;なみ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-153","陛","ヘイ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-154","閉","ヘイ","と;し","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-155","片","ヘン","かた","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-156","補","ホ","おぎな","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-157","暮","ボ","く","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-158","宝","ホウ","たから","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-159","訪","ホウ","たず;おとず","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-160","亡","ボウ;モウ","な","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-161","忘","ボウ","わす","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-162","棒","ボウ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-163","枚","マイ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-164","幕","マク;バク","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-165","密","ミツ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-166","盟","メイ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-167","模","モ;ボ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-168","訳","ヤク","わけ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-169","郵","ユウ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-170","優","ユウ","やさ;すぐ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-171","幼","ヨウ","おさな","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-172","欲","ヨク","ほ;ほっ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-173","翌","ヨク","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-174","乱","ラン","みだ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-175","卵","ラン","たまご","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-176","覧","ラン","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-177","裏","リ","うら","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-178","律","リツ;リチ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-179","臨","リン","のぞ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-180","朗","ロウ","ほが","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-181","論","ロン","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-089","胃","イ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-182","恩","オン","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-183","券","ケン","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-184","承","ショウ","うけたまわ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-185","舌","ゼツ","した","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-186","銭","セン","ぜに","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-187","退","タイ","しりぞ","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-188","腸","チョウ","","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-189","敵","テキ","かたき","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-190","俵","ヒョウ","たわら","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
"g6-191","預","ヨ","あず","かずのはじめ・ひとつ","りんごが 一（ひと）つ ある。"
