"g6-001","異","イ","こと"
"g6-002","遺","イ",
"g6-003","域","イキ",
"g6-004","宇","ウ",
"g6-005","映","エイ","うつ"
"g6-006","延","エン","の"
"g6-007","沿","エン","そ"
"g6-008","我","ガ","われ"
"g6-009","灰","カイ","はい"
"g6-010","拡","カク",
"g6-011","革","カク","かわ"
"g6-012","閣","カク",
"g6-013","割","カツ","わ"
"g6-014","株",,"かぶ"
"g6-015","干","カン","ほ"
"g6-016","巻","カン","ま"
"g6-017","看","カン",
"g6-018","簡","カン",
"g6-019","危","キ","あぶ"
"g6-020","机","キ","つくえ"
"g6-021","揮","キ",
"g6-022","貴","キ","とうと"
"g6-023","疑","ギ","うたが"
"g6-024","吸","キュウ","す"
"g6-025","供","キョウ","そな"
"g6-026","胸","むね","キョウ"
"g6-027","郷","キョウ",
"g6-028","勤","キン","つと"
"g6-029","筋","キン","すじ"
"g6-030","系","ケイ",
"g6-031","敬","ケイ","うやま"
"g6-032","警","ケイ",
"g6-033","劇","ゲキ",
"g6-034","激","ゲキ","はげ"
"g6-035","穴","ケツ","あな"
"g6-036","絹","ケン","きぬ"
"g6-037","権","ケン",
"g6-038","憲","ケン",
"g6-039","源","ゲン","みなもと"
"g6-040","厳","ゲン","きび"
"g6-041","己","コ","おのれ"
"g6-042","呼","コ","よ"
"g6-043","誤","ゴ","あやま"
"g6-044","后","コウ",
"g6-045","孝","コウ",
"g6-046","皇","コウ",
"g6-047","紅","コウ","べに"
"g6-048","降","コウ","お"
"g6-049","鋼","コウ","はがね"
"g6-050","刻","コク","きざ"
"g6-051","穀","コク",
"g6-052","骨","コツ","ほね"
"g6-053","困","コン","こま"
"g6-054","砂","サ","すな"
"g6-055","座","ザ","すわ"
"g6-056","済","サイ","す"
"g6-057","裁","サイ","さば"
"g6-058","策","サク",
"g6-059","冊","サツ",
"g6-060","蚕","サン","かいこ"
"g6-061","至","シ","いた"
"g6-062","私","シ","わたくし"
"g6-063","姿","シ","すがた"
"g6-064","視","シ",
"g6-065","詞","シ",
"g6-066","誌","シ",
"g6-067","磁","ジ",
"g6-068","射","シャ","い"
"g6-069","捨","シャ","す"
"g6-070","尺","シャク",
"g6-071","若","ジャク","わか"
"g6-072","樹","ジュ",
"g6-073","収","シュウ","おさ"
"g6-074","宗","シュウ",
"g6-075","就","シュウ","つ"
"g6-076","衆","シュウ",
"g6-077","従","ジュウ","したが"
"g6-078","縦","ジュウ","たて"
"g6-079","縮","シュク","ちぢ"
"g6-080","熟","ジュク","う"
"g6-081","純","ジュン",
"g6-082","処","ショ",
"g6-083","署","ショ",
"g6-084","諸","ショ",
"g6-085","除","ジョ","のぞ"
"g6-086","将","ショウ",
"g6-087","傷","ショウ","きず"
"g6-088","障","ショウ","さわ"
"g6-090","蒸","ジョウ","む"
"g6-091","針","シン","はり"
"g6-092","仁","ジン",
"g6-093","垂","スイ","た"
"g6-094","推","スイ","お"
"g6-095","寸","スン",
"g6-096","盛","セイ","も"
"g6-097","聖","セイ",
"g6-098","誠","セイ","まこと"
"g6-099","宣","セン",
"g6-100","専","セン","もっぱ"
"g6-101","泉","セン","いずみ"
"g6-102","洗","セン","あら"
"g6-103","染","セン","そ"
"g6-104","善","ゼン","よ"
"g6-105","奏","ソウ","かな"
"g6-106","窓","ソウ","まど"
"g6-107","創","ソウ","つく"
"g6-108","装","ソウ","よそお"
"g6-109","層","ソウ",
"g6-110","操","ソウ","あやつ"
"g6-111","蔵","ゾウ","くら"
"g6-112","臓","ゾウ",
"g6-113","存","ゾン",
"g6-114","尊","ソン","とうと"
"g6-115","宅","タク",
"g6-116","担","タン","かつ"
"g6-117","探","タン","さが"
"g6-118","誕","タン",
"g6-119","段","ダン",
"g6-120","暖","ダン","あたた"
"g6-121","値","チ","ね"
"g6-122","宙","チュウ",
"g6-123","忠","チュウ",
"g6-124","著","チョ","あらわ"
"g6-125","庁","チョウ",
"g6-126","頂","チョウ","いただ"
"g6-127","潮","チョウ","しお"
"g6-128","賃","チン",
"g6-129","痛","ツウ","いた"
"g6-130","展","テン",
"g6-131","討","トウ","う"
"g6-132","党","トウ",
"g6-133","糖","トウ",
"g6-134","届",,"とど"
"g6-135","難","ナン","むずか"
"g6-136","乳","ニュウ","ちち"
"g6-137","認","ニン","みと"
"g6-138","納","ノウ","おさ"
"g6-139","脳","ノウ",
"g6-140","派","ハ",
"g6-141","拝","ハイ","おが"
"g6-142","背","ハイ","せ"
"g6-143","肺","ハイ",
"g6-144","俳","ハイ",
"g6-145","班","ハン",
"g6-146","晩","バン",
"g6-147","否","ヒ","いな"
"g6-148","批","ヒ",
"g6-149","秘","ヒ","ひ"
"g6-150","腹","フク","はら"
"g6-151","奮","フン","ふる"
"g6-152","並","ヘイ","なら"
"g6-153","陛","ヘイ",
"g6-154","閉","ヘイ","と"
"g6-155","片","ヘン","かた"
"g6-156","補","ホ","おぎな"
"g6-157","暮","ボ","く"
"g6-158","宝","ホウ","たから"
"g6-159","訪","ホウ","たず"
"g6-160","亡","ボウ","な"
"g6-161","忘","ボウ","わす"
"g6-162","棒","ボウ",
"g6-163","枚","マイ",
"g6-164","幕","マク",
"g6-165","密","ミツ",
"g6-166","盟","メイ",
"g6-167","模","モ",
"g6-168","訳","ヤク","わけ"
"g6-169","郵","ユウ",
"g6-170","優","ユウ","やさ"
"g6-171","幼","ヨウ","おさな"
"g6-172","欲","ヨク","ほ"
"g6-173","翌","ヨク",
"g6-174","乱","ラン","みだ"
"g6-175","卵","ラン","たまご"
"g6-176","覧","ラン",
"g6-177","裏","リ","うら"
"g6-178","律","リツ",
"g6-179","臨","リン","のぞ"
"g6-180","朗","ロウ","ほが"
"g6-181","論","ロン",
"g6-089","胃","イ",
"g6-182","恩","オン",
"g6-183","券","ケン",
"g6-184","承","ショウ","うけたまわ"
"g6-185","舌","ゼツ","した"
"g6-186","銭","セン","ぜに"
"g6-187","退","タイ","しりぞ"
"g6-188","腸","チョウ",
"g6-189","敵","テキ","かたき"
"g6-190","俵","ヒョウ","たわら"
"g6-191","預","ヨ","あず"
