"g8-001","哀","アイ","あわ"
"g8-002","慰","イ","なぐさ"
"g8-003","詠","エイ","よ"
"g8-004","悦","エツ",
"g8-005","閲","エツ",
"g8-006","炎","エン","ほのお"
"g8-007","宴","エン",
"g8-008","欧","オウ",
"g8-009","殴","オウ","なぐ"
"g8-010","乙","オツ",
"g8-011","卸",,"おろし"
"g8-012","穏","オン","おだ"
"g8-013","佳","カ",
"g8-014","架","カ","か"
"g8-015","華","カ","はな"
"g8-016","嫁","カ","よめ"
"g8-017","餓","ガ",
"g8-018","怪","カイ","あや"
"g8-019","悔","カイ","く"
"g8-020","塊","カイ","かたまり"
"g8-021","慨","ガイ",
"g8-022","該","ガイ",
"g8-023","概","ガイ",
"g8-024","郭","カク",
"g8-025","隔","カク","へだ"
"g8-026","穫","カク",
"g8-027","岳","ガク","たけ"
"g8-028","掛",,"か"
"g8-029","滑","カツ","すべ"
"g8-030","肝","カン","きも"
"g8-031","冠","カン","かんむり"
"g8-032","勘","カン",
"g8-033","貫","カン","つらぬ"
"g8-034","喚","カン",
"g8-035","換","カン","か"
"g8-036","緩","カン","ゆる"
"g8-037","企","キ","くわだ"
"g8-038","忌","キ","い"
"g8-039","軌","キ",
"g8-040","既","キ","すで"
"g8-041","棋","キ",
"g8-042","棄","キ",
"g8-043","騎","キ",
"g8-044","欺","ギ","あざむ"
"g8-045","犠","ギ",
"g8-046","菊","キク",
"g8-047","吉","キチ",
"g8-048","喫","キツ",
"g8-049","虐","ギャク","しいた"
"g8-050","虚","キョ",
"g8-051","峡","キョウ",
"g8-052","脅","キョウ","おびや"
"g8-053","凝","ギョウ","こ"
"g8-054","斤","キン",
"g8-055","緊","キン",
"g8-056","愚","グ","おろ"
"g8-057","偶","グウ",
"g8-058","遇","グウ",
"g8-059","刑","ケイ",
"g8-060","契","ケイ","ちぎ"
"g8-061","啓","ケイ",
"g8-062","掲","ケイ","かか"
"g8-063","携","ケイ","たずさ"
"g8-064","憩","ケイ","いこ"
"g8-065","鶏","ケイ","にわとり"
"g8-066","鯨","ゲイ","くじら"
"g8-067","倹","ケン",
"g8-068","賢","ケン","かしこ"
"g8-069","幻","ゲン","まぼろ"
"g8-070","孤","コ",
"g8-071","弧","コ",
"g8-072","雇","コ","やと"
"g8-073","顧","コ","かえり"
"g8-074","娯","ゴ",
"g8-075","悟","ゴ","さと"
"g8-076","孔","コウ",
"g8-077","巧","コウ","たく"
"g8-078","甲","コウ",
"g8-079","坑","コウ",
"g8-080","拘","コウ",
"g8-081","郊","コウ",
"g8-082","控","コウ","ひか"
"g8-083","慌","コウ","あわ"
"g8-084","硬","コウ","かた"
"g8-085","絞","コウ","しぼ"
"g8-086","綱","コウ","つな"
"g8-087","酵","コウ",
"g8-088","克","コク",
"g8-089","獄","ゴク",
"g8-090","恨","コン","うら"
"g8-091","紺","コン",
"g8-092","魂","コン","たましい"
"g8-093","墾","コン",
"g8-094","債","サイ",
"g8-095","催","サイ","もよお"
"g8-096","削","サク","けず"
"g8-097","搾","サク","しぼ"
"g8-098","錯","サク",
